DogName,CollarID,x,y,Timestamp,DOP,State,Sex
Abel,27416,24.2534123,-18.2563908,2018-12-24T15:00:39Z,1,Resident,M
Abel,27416,24.2531924,-18.2560634,2018-12-24T07:00:39Z,1.2,Resident,M
Abel,27416,24.2645097,-18.2728664,2018-12-24T03:01:06Z,1.8,Resident,M
Abel,27416,24.3174385,-18.2517392,2018-12-23T23:00:27Z,1.4,Resident,M
Abel,27416,24.3205819,-18.2419941,2018-12-23T19:00:39Z,1.4,Resident,M
Abel,27416,24.2760633,-18.2113106,2018-12-23T15:00:39Z,1.8,Resident,M
Abel,27416,24.2767413,-18.2110335,2018-12-23T07:00:34Z,1,Resident,M
Abel,27416,24.2946646,-18.2519366,2018-12-23T03:00:38Z,1.4,Resident,M
Abel,27416,24.2948026,-18.2550893,2018-12-22T23:00:39Z,1.4,Resident,M
Abel,27416,24.2724136,-18.2492748,2018-12-22T19:00:39Z,1.4,Resident,M
Abel,27416,24.2653204,-18.24916,2018-12-22T15:00:38Z,1.2,Resident,M
Abel,27416,24.2691281,-18.247148,2018-12-22T07:00:38Z,1,Resident,M
Abel,27416,24.2685256,-18.2797635,2018-12-22T03:00:38Z,1.8,Resident,M
Abel,27416,24.2775639,-18.2763274,2018-12-21T23:00:23Z,1.4,Resident,M
Abel,27416,24.252379,-18.2324769,2018-12-21T19:00:38Z,1.6,Resident,M
Abel,27416,24.2778949,-18.2118075,2018-12-21T15:00:23Z,1.4,Resident,M
Abel,27416,24.2736562,-18.213745,2018-12-21T07:00:37Z,1.4,Resident,M
Abel,27416,24.3542352,-18.1979276,2018-12-21T03:00:21Z,1.2,Resident,M
Abel,27416,24.3555089,-18.1911076,2018-12-20T23:00:39Z,1,Resident,M
Abel,27416,24.3549596,-18.191307,2018-12-20T19:00:36Z,1.4,Resident,M
Abel,27416,24.3877261,-18.1419198,2018-12-20T15:00:38Z,1.2,Resident,M
Abel,27416,24.3872849,-18.1421527,2018-12-20T07:00:38Z,1,Resident,M
Abel,27416,24.4073203,-18.0685541,2018-12-20T03:00:38Z,1.2,Resident,M
Abel,27416,24.426525,-18.0809848,2018-12-19T23:00:27Z,1.2,Resident,M
Abel,27416,24.4149502,-18.0774415,2018-12-19T19:00:36Z,1.4,Resident,M
Abel,27416,24.4615165,-18.064667,2018-12-19T15:00:39Z,1.2,Resident,M
Abel,27416,24.4613461,-18.0646433,2018-12-19T07:00:34Z,1,Resident,M
Abel,27416,24.4020361,-18.0791728,2018-12-19T03:00:15Z,2,Resident,M
Abel,27416,24.380232,-18.1254404,2018-12-18T23:00:29Z,1.2,Resident,M
Abel,27416,24.3442273,-18.1929331,2018-12-18T19:00:21Z,2,Resident,M
Abel,27416,24.3453808,-18.1944344,2018-12-18T15:00:13Z,1.2,Resident,M
Abel,27416,24.3453297,-18.194116,2018-12-18T09:01:08Z,1.2,Resident,M
Abel,27416,24.3450616,-18.1939875,2018-12-18T07:00:22Z,1.2,Resident,M
Abel,27416,24.3444852,-18.1942108,2018-12-18T05:00:16Z,1.2,Resident,M
Abel,27416,24.3360362,-18.2218054,2018-12-18T03:01:38Z,1,Resident,M
Abel,27416,24.3400434,-18.2050758,2018-12-18T01:00:39Z,1.6,Resident,M
Abel,27416,24.3725866,-18.1931372,2018-12-17T23:00:19Z,1.2,Resident,M
Abel,27416,24.3767029,-18.1918055,2018-12-17T21:00:16Z,1.4,Resident,M
Abel,27416,24.3759484,-18.1951788,2018-12-17T19:00:38Z,1.2,Resident,M
Abel,27416,24.3772312,-18.2035397,2018-12-17T17:00:16Z,1.2,Resident,M
Abel,27416,24.3503474,-18.2163346,2018-12-17T15:00:39Z,1.2,Resident,M
Abel,27416,24.3502461,-18.216355,2018-12-17T07:00:40Z,1,Resident,M
Abel,27416,24.3330912,-18.2134037,2018-12-17T03:00:38Z,1,Resident,M
Abel,27416,24.3253198,-18.2054717,2018-12-16T23:00:51Z,1.2,Resident,M
Abel,27416,24.2300597,-18.1467058,2018-12-16T19:00:38Z,1,Resident,M
Abel,27416,24.2364351,-18.1165234,2018-12-16T15:00:37Z,1.4,Resident,M
Abel,27416,24.2368622,-18.1166777,2018-12-16T07:00:28Z,1.6,Resident,M
Abel,27416,24.2429735,-18.1659164,2018-12-16T03:00:38Z,1.4,Resident,M
Abel,27416,24.2441516,-18.1848605,2018-12-15T23:00:25Z,1.2,Resident,M
